PA,Time,AG,Starting_Age,Ending_Age,Sex,Total Pop
Ang Mo Kio,2000,0_to_4,0,4,Females,4460
Ang Mo Kio,2000,0_to_4,0,4,Males,4830
Ang Mo Kio,2000,10_to_14,10,14,Females,5520
Ang Mo Kio,2000,10_to_14,10,14,Males,5710
Ang Mo Kio,2000,15_to_19,15,19,Females,5930
Ang Mo Kio,2000,15_to_19,15,19,Males,6260
Ang Mo Kio,2000,20_to_24,20,24,Females,7160
Ang Mo Kio,2000,20_to_24,20,24,Males,7170
Ang Mo Kio,2000,25_to_29,25,29,Females,7750
Ang Mo Kio,2000,25_to_29,25,29,Males,8260
Ang Mo Kio,2000,30_to_34,30,34,Females,6810
Ang Mo Kio,2000,30_to_34,30,34,Males,7050
Ang Mo Kio,2000,35_to_39,35,39,Females,7610
Ang Mo Kio,2000,35_to_39,35,39,Males,7850
Ang Mo Kio,2000,40_to_44,40,44,Females,8270
Ang Mo Kio,2000,40_to_44,40,44,Males,7840
Ang Mo Kio,2000,45_to_49,45,49,Females,8300
Ang Mo Kio,2000,45_to_49,45,49,Males,7650
Ang Mo Kio,2000,5_to_9,5,9,Females,5880
Ang Mo Kio,2000,5_to_9,5,9,Males,5890
Ang Mo Kio,2000,50_to_54,50,54,Females,7190
Ang Mo Kio,2000,50_to_54,50,54,Males,6800
Ang Mo Kio,2000,55_to_59,55,59,Females,4530
Ang Mo Kio,2000,55_to_59,55,59,Males,4430
Ang Mo Kio,2000,60_to_64,60,64,Females,3750
Ang Mo Kio,2000,60_to_64,60,64,Males,3770
Ang Mo Kio,2000,65_to_69,65,69,Females,2940
Ang Mo Kio,2000,65_to_69,65,69,Males,2760
Ang Mo Kio,2000,70_to_74,70,74,Females,2220
Ang Mo Kio,2000,70_to_74,70,74,Males,1800
Ang Mo Kio,2000,75_to_79,75,79,Females,1300
Ang Mo Kio,2000,75_to_79,75,79,Males,990
Ang Mo Kio,2000,80_to_84,80,84,Females,760
Ang Mo Kio,2000,80_to_84,80,84,Males,570
Ang Mo Kio,2000,85_to_89,85,89,Females,510
Ang Mo Kio,2000,85_to_89,85,89,Males,270
Ang Mo Kio,2000,90_and_over,NA,NA,Females,220
Ang Mo Kio,2000,90_and_over,NA,NA,Males,90
Ang Mo Kio,2001,0_to_4,0,4,Females,4320
Ang Mo Kio,2001,0_to_4,0,4,Males,4630
Ang Mo Kio,2001,10_to_14,10,14,Females,5380
Ang Mo Kio,2001,10_to_14,10,14,Males,5580
Ang Mo Kio,2001,15_to_19,15,19,Females,5500
Ang Mo Kio,2001,15_to_19,15,19,Males,5780
Ang Mo Kio,2001,20_to_24,20,24,Females,6950
Ang Mo Kio,2001,20_to_24,20,24,Males,6910
Ang Mo Kio,2001,25_to_29,25,29,Females,7510
Ang Mo Kio,2001,25_to_29,25,29,Males,7840
Ang Mo Kio,2001,30_to_34,30,34,Females,6550
Ang Mo Kio,2001,30_to_34,30,34,Males,6720
Ang Mo Kio,2001,35_to_39,35,39,Females,7430
Ang Mo Kio,2001,35_to_39,35,39,Males,7610
Ang Mo Kio,2001,40_to_44,40,44,Females,7870
Ang Mo Kio,2001,40_to_44,40,44,Males,7790
Ang Mo Kio,2001,45_to_49,45,49,Females,8140
Ang Mo Kio,2001,45_to_49,45,49,Males,7420
Ang Mo Kio,2001,5_to_9,5,9,Females,5230
Ang Mo Kio,2001,5_to_9,5,9,Males,5200
Ang Mo Kio,2001,50_to_54,50,54,Females,7480
Ang Mo Kio,2001,50_to_54,50,54,Males,7120
Ang Mo Kio,2001,55_to_59,55,59,Females,4480
Ang Mo Kio,2001,55_to_59,55,59,Males,4220
Ang Mo Kio,2001,60_to_64,60,64,Females,4090
Ang Mo Kio,2001,60_to_64,60,64,Males,4020
Ang Mo Kio,2001,65_to_69,65,69,Females,2870
Ang Mo Kio,2001,65_to_69,65,69,Males,2830
Ang Mo Kio,2001,70_to_74,70,74,Females,2300
Ang Mo Kio,2001,70_to_74,70,74,Males,1910
Ang Mo Kio,2001,75_to_79,75,79,Females,1380
Ang Mo Kio,2001,75_to_79,75,79,Males,1080
Ang Mo Kio,2001,80_to_84,80,84,Females,790
Ang Mo Kio,2001,80_to_84,80,84,Males,560
Ang Mo Kio,2001,85_to_89,85,89,Females,500
Ang Mo Kio,2001,85_to_89,85,89,Males,280
Ang Mo Kio,2001,90_and_over,NA,NA,Females,220
Ang Mo Kio,2001,90_and_over,NA,NA,Males,120
Ang Mo Kio,2002,0_to_4,0,4,Females,4220
Ang Mo Kio,2002,0_to_4,0,4,Males,4470
Ang Mo Kio,2002,10_to_14,10,14,Females,5480
Ang Mo Kio,2002,10_to_14,10,14,Males,5590
Ang Mo Kio,2002,15_to_19,15,19,Females,5010
Ang Mo Kio,2002,15_to_19,15,19,Males,5280
Ang Mo Kio,2002,20_to_24,20,24,Females,6590
Ang Mo Kio,2002,20_to_24,20,24,Males,6640
Ang Mo Kio,2002,25_to_29,25,29,Females,7460
Ang Mo Kio,2002,25_to_29,25,29,Males,7590
Ang Mo Kio,2002,30_to_34,30,34,Females,6470
Ang Mo Kio,2002,30_to_34,30,34,Males,6620
Ang Mo Kio,2002,35_to_39,35,39,Females,7330
Ang Mo Kio,2002,35_to_39,35,39,Males,7400
Ang Mo Kio,2002,40_to_44,40,44,Females,7450
Ang Mo Kio,2002,40_to_44,40,44,Males,7690
Ang Mo Kio,2002,45_to_49,45,49,Females,8020
Ang Mo Kio,2002,45_to_49,45,49,Males,7320
Ang Mo Kio,2002,5_to_9,5,9,Females,4810
Ang Mo Kio,2002,5_to_9,5,9,Males,4900
Ang Mo Kio,2002,50_to_54,50,54,Females,7470
Ang Mo Kio,2002,50_to_54,50,54,Males,6930
Ang Mo Kio,2002,55_to_59,55,59,Females,5020
Ang Mo Kio,2002,55_to_59,55,59,Males,4660
Ang Mo Kio,2002,60_to_64,60,64,Females,4300
Ang Mo Kio,2002,60_to_64,60,64,Males,4080
Ang Mo Kio,2002,65_to_69,65,69,Females,2820
Ang Mo Kio,2002,65_to_69,65,69,Males,2830
Ang Mo Kio,2002,70_to_74,70,74,Females,2410
Ang Mo Kio,2002,70_to_74,70,74,Males,1980
Ang Mo Kio,2002,75_to_79,75,79,Females,1460
Ang Mo Kio,2002,75_to_79,75,79,Males,1160
Ang Mo Kio,2002,80_to_84,80,84,Females,810
Ang Mo Kio,2002,80_to_84,80,84,Males,620
Ang Mo Kio,2002,85_to_89,85,89,Females,520
Ang Mo Kio,2002,85_to_89,85,89,Males,260
Ang Mo Kio,2002,90_and_over,NA,NA,Females,270
Ang Mo Kio,2002,90_and_over,NA,NA,Males,120
Ang Mo Kio,2003,0_to_4,0,4,Females,4010
Ang Mo Kio,2003,0_to_4,0,4,Males,4360
Ang Mo Kio,2003,10_to_14,10,14,Females,5290
Ang Mo Kio,2003,10_to_14,10,14,Males,5460
Ang Mo Kio,2003,15_to_19,15,19,Females,4940
Ang Mo Kio,2003,15_to_19,15,19,Males,5110
Ang Mo Kio,2003,20_to_24,20,24,Females,6190
Ang Mo Kio,2003,20_to_24,20,24,Males,6190
Ang Mo Kio,2003,25_to_29,25,29,Females,7160
Ang Mo Kio,2003,25_to_29,25,29,Males,7020
Ang Mo Kio,2003,30_to_34,30,34,Females,6460
Ang Mo Kio,2003,30_to_34,30,34,Males,6670
Ang Mo Kio,2003,35_to_39,35,39,Females,6990
Ang Mo Kio,2003,35_to_39,35,39,Males,7070
Ang Mo Kio,2003,40_to_44,40,44,Females,7360
Ang Mo Kio,2003,40_to_44,40,44,Males,7670
Ang Mo Kio,2003,45_to_49,45,49,Females,7870
Ang Mo Kio,2003,45_to_49,45,49,Males,7130
Ang Mo Kio,2003,5_to_9,5,9,Females,4680
Ang Mo Kio,2003,5_to_9,5,9,Males,4660
Ang Mo Kio,2003,50_to_54,50,54,Females,7290
Ang Mo Kio,2003,50_to_54,50,54,Males,6730
Ang Mo Kio,2003,55_to_59,55,59,Females,5440
Ang Mo Kio,2003,55_to_59,55,59,Males,5050
Ang Mo Kio,2003,60_to_64,60,64,Females,4340
Ang Mo Kio,2003,60_to_64,60,64,Males,4040
Ang Mo Kio,2003,65_to_69,65,69,Females,2890
Ang Mo Kio,2003,65_to_69,65,69,Males,2840
Ang Mo Kio,2003,70_to_74,70,74,Females,2430
Ang Mo Kio,2003,70_to_74,70,74,Males,2050
Ang Mo Kio,2003,75_to_79,75,79,Females,1450
Ang Mo Kio,2003,75_to_79,75,79,Males,1100
Ang Mo Kio,2003,80_to_84,80,84,Females,890
Ang Mo Kio,2003,80_to_84,80,84,Males,620
Ang Mo Kio,2003,85_to_89,85,89,Females,500
Ang Mo Kio,2003,85_to_89,85,89,Males,270
Ang Mo Kio,2003,90_and_over,NA,NA,Females,290
Ang Mo Kio,2003,90_and_over,NA,NA,Males,120
Ang Mo Kio,2004,0_to_4,0,4,Females,3870
Ang Mo Kio,2004,0_to_4,0,4,Males,4110
Ang Mo Kio,2004,10_to_14,10,14,Females,5150
Ang Mo Kio,2004,10_to_14,10,14,Males,5170
Ang Mo Kio,2004,15_to_19,15,19,Females,4960
Ang Mo Kio,2004,15_to_19,15,19,Males,5150
Ang Mo Kio,2004,20_to_24,20,24,Females,5840
Ang Mo Kio,2004,20_to_24,20,24,Males,5960
Ang Mo Kio,2004,25_to_29,25,29,Females,6940
Ang Mo Kio,2004,25_to_29,25,29,Males,6810
Ang Mo Kio,2004,30_to_34,30,34,Females,6510
Ang Mo Kio,2004,30_to_34,30,34,Males,6600
Ang Mo Kio,2004,35_to_39,35,39,Females,6740
Ang Mo Kio,2004,35_to_39,35,39,Males,6710
Ang Mo Kio,2004,40_to_44,40,44,Females,7310
Ang Mo Kio,2004,40_to_44,40,44,Males,7580
Ang Mo Kio,2004,45_to_49,45,49,Females,7700
Ang Mo Kio,2004,45_to_49,45,49,Males,7170
Ang Mo Kio,2004,5_to_9,5,9,Females,4450
Ang Mo Kio,2004,5_to_9,5,9,Males,4530
Ang Mo Kio,2004,50_to_54,50,54,Females,7410
Ang Mo Kio,2004,50_to_54,50,54,Males,6730
Ang Mo Kio,2004,55_to_59,55,59,Females,5800
Ang Mo Kio,2004,55_to_59,55,59,Males,5350
Ang Mo Kio,2004,60_to_64,60,64,Females,4330
Ang Mo Kio,2004,60_to_64,60,64,Males,4090
Ang Mo Kio,2004,65_to_69,65,69,Females,3150
Ang Mo Kio,2004,65_to_69,65,69,Males,3010
Ang Mo Kio,2004,70_to_74,70,74,Females,2510
Ang Mo Kio,2004,70_to_74,70,74,Males,2090
Ang Mo Kio,2004,75_to_79,75,79,Females,1670
Ang Mo Kio,2004,75_to_79,75,79,Males,1260
Ang Mo Kio,2004,80_to_84,80,84,Females,910
Ang Mo Kio,2004,80_to_84,80,84,Males,640
Ang Mo Kio,2004,85_to_89,85,89,Females,500
Ang Mo Kio,2004,85_to_89,85,89,Males,270
Ang Mo Kio,2004,90_and_over,NA,NA,Females,320
Ang Mo Kio,2004,90_and_over,NA,NA,Males,140
Ang Mo Kio,2005,0_to_4,0,4,Females,3640
Ang Mo Kio,2005,0_to_4,0,4,Males,4050
Ang Mo Kio,2005,10_to_14,10,14,Females,5020
Ang Mo Kio,2005,10_to_14,10,14,Males,5080
Ang Mo Kio,2005,15_to_19,15,19,Females,4950
Ang Mo Kio,2005,15_to_19,15,19,Males,5080
Ang Mo Kio,2005,20_to_24,20,24,Females,5680
Ang Mo Kio,2005,20_to_24,20,24,Males,5800
Ang Mo Kio,2005,25_to_29,25,29,Females,6900
Ang Mo Kio,2005,25_to_29,25,29,Males,6650
Ang Mo Kio,2005,30_to_34,30,34,Females,6660
Ang Mo Kio,2005,30_to_34,30,34,Males,6780
Ang Mo Kio,2005,35_to_39,35,39,Females,6470
Ang Mo Kio,2005,35_to_39,35,39,Males,6480
Ang Mo Kio,2005,40_to_44,40,44,Females,7240
Ang Mo Kio,2005,40_to_44,40,44,Males,7500
Ang Mo Kio,2005,45_to_49,45,49,Females,7600
Ang Mo Kio,2005,45_to_49,45,49,Males,7330
Ang Mo Kio,2005,5_to_9,5,9,Females,4360
Ang Mo Kio,2005,5_to_9,5,9,Males,4420
Ang Mo Kio,2005,50_to_54,50,54,Females,7450
Ang Mo Kio,2005,50_to_54,50,54,Males,6760
Ang Mo Kio,2005,55_to_59,55,59,Females,6430
Ang Mo Kio,2005,55_to_59,55,59,Males,5950
Ang Mo Kio,2005,60_to_64,60,64,Females,4060
Ang Mo Kio,2005,60_to_64,60,64,Males,3800
Ang Mo Kio,2005,65_to_69,65,69,Females,3370
Ang Mo Kio,2005,65_to_69,65,69,Males,3200
Ang Mo Kio,2005,70_to_74,70,74,Females,2600
Ang Mo Kio,2005,70_to_74,70,74,Males,2230
Ang Mo Kio,2005,75_to_79,75,79,Females,1780
Ang Mo Kio,2005,75_to_79,75,79,Males,1330
Ang Mo Kio,2005,80_to_84,80,84,Females,950
Ang Mo Kio,2005,80_to_84,80,84,Males,660
Ang Mo Kio,2005,85_to_89,85,89,Females,500
Ang Mo Kio,2005,85_to_89,85,89,Males,280
Ang Mo Kio,2005,90_and_over,NA,NA,Females,280
Ang Mo Kio,2005,90_and_over,NA,NA,Males,140
Ang Mo Kio,2006,0_to_4,0,4,Females,3600
Ang Mo Kio,2006,0_to_4,0,4,Males,3890
Ang Mo Kio,2006,10_to_14,10,14,Females,4940
Ang Mo Kio,2006,10_to_14,10,14,Males,4940
Ang Mo Kio,2006,15_to_19,15,19,Females,5110
Ang Mo Kio,2006,15_to_19,15,19,Males,5230
Ang Mo Kio,2006,20_to_24,20,24,Females,5410
Ang Mo Kio,2006,20_to_24,20,24,Males,5490
Ang Mo Kio,2006,25_to_29,25,29,Females,6990
Ang Mo Kio,2006,25_to_29,25,29,Males,6710
Ang Mo Kio,2006,30_to_34,30,34,Females,6850
Ang Mo Kio,2006,30_to_34,30,34,Males,6800
Ang Mo Kio,2006,35_to_39,35,39,Females,6600
Ang Mo Kio,2006,35_to_39,35,39,Males,6390
Ang Mo Kio,2006,40_to_44,40,44,Females,7330
Ang Mo Kio,2006,40_to_44,40,44,Males,7490
Ang Mo Kio,2006,45_to_49,45,49,Females,7410
Ang Mo Kio,2006,45_to_49,45,49,Males,7460
Ang Mo Kio,2006,5_to_9,5,9,Females,4390
Ang Mo Kio,2006,5_to_9,5,9,Males,4480
Ang Mo Kio,2006,50_to_54,50,54,Females,7510
Ang Mo Kio,2006,50_to_54,50,54,Males,6790
Ang Mo Kio,2006,55_to_59,55,59,Females,6850
Ang Mo Kio,2006,55_to_59,55,59,Males,6310
Ang Mo Kio,2006,60_to_64,60,64,Females,4120
Ang Mo Kio,2006,60_to_64,60,64,Males,3760
Ang Mo Kio,2006,65_to_69,65,69,Females,3700
Ang Mo Kio,2006,65_to_69,65,69,Males,3360
Ang Mo Kio,2006,70_to_74,70,74,Females,2550
Ang Mo Kio,2006,70_to_74,70,74,Males,2290
Ang Mo Kio,2006,75_to_79,75,79,Females,1980
Ang Mo Kio,2006,75_to_79,75,79,Males,1410
Ang Mo Kio,2006,80_to_84,80,84,Females,1000
Ang Mo Kio,2006,80_to_84,80,84,Males,660
Ang Mo Kio,2006,85_to_89,85,89,Females,530
Ang Mo Kio,2006,85_to_89,85,89,Males,310
Ang Mo Kio,2006,90_and_over,NA,NA,Females,310
Ang Mo Kio,2006,90_and_over,NA,NA,Males,140
Ang Mo Kio,2007,0_to_4,0,4,Females,3670
Ang Mo Kio,2007,0_to_4,0,4,Males,3920
Ang Mo Kio,2007,10_to_14,10,14,Females,4820
Ang Mo Kio,2007,10_to_14,10,14,Males,4840
Ang Mo Kio,2007,15_to_19,15,19,Females,5360
Ang Mo Kio,2007,15_to_19,15,19,Males,5340
Ang Mo Kio,2007,20_to_24,20,24,Females,5200
Ang Mo Kio,2007,20_to_24,20,24,Males,5190
Ang Mo Kio,2007,25_to_29,25,29,Females,6990
Ang Mo Kio,2007,25_to_29,25,29,Males,6670
Ang Mo Kio,2007,30_to_34,30,34,Females,7070
Ang Mo Kio,2007,30_to_34,30,34,Males,7060
Ang Mo Kio,2007,35_to_39,35,39,Females,6630
Ang Mo Kio,2007,35_to_39,35,39,Males,6430
Ang Mo Kio,2007,40_to_44,40,44,Females,7260
Ang Mo Kio,2007,40_to_44,40,44,Males,7330
Ang Mo Kio,2007,45_to_49,45,49,Females,7240
Ang Mo Kio,2007,45_to_49,45,49,Males,7530
Ang Mo Kio,2007,5_to_9,5,9,Females,4250
Ang Mo Kio,2007,5_to_9,5,9,Males,4420
Ang Mo Kio,2007,50_to_54,50,54,Females,7640
Ang Mo Kio,2007,50_to_54,50,54,Males,6920
Ang Mo Kio,2007,55_to_59,55,59,Females,6940
Ang Mo Kio,2007,55_to_59,55,59,Males,6350
Ang Mo Kio,2007,60_to_64,60,64,Females,4730
Ang Mo Kio,2007,60_to_64,60,64,Males,4200
Ang Mo Kio,2007,65_to_69,65,69,Females,3990
Ang Mo Kio,2007,65_to_69,65,69,Males,3530
Ang Mo Kio,2007,70_to_74,70,74,Females,2570
Ang Mo Kio,2007,70_to_74,70,74,Males,2410
Ang Mo Kio,2007,75_to_79,75,79,Females,2080
Ang Mo Kio,2007,75_to_79,75,79,Males,1480
Ang Mo Kio,2007,80_to_84,80,84,Females,1110
Ang Mo Kio,2007,80_to_84,80,84,Males,700
Ang Mo Kio,2007,85_to_89,85,89,Females,570
Ang Mo Kio,2007,85_to_89,85,89,Males,340
Ang Mo Kio,2007,90_and_over,NA,NA,Females,330
Ang Mo Kio,2007,90_and_over,NA,NA,Males,150
Ang Mo Kio,2008,0_to_4,0,4,Females,3850
Ang Mo Kio,2008,0_to_4,0,4,Males,3980
Ang Mo Kio,2008,10_to_14,10,14,Females,4800
Ang Mo Kio,2008,10_to_14,10,14,Males,4820
Ang Mo Kio,2008,15_to_19,15,19,Females,5360
Ang Mo Kio,2008,15_to_19,15,19,Males,5370
Ang Mo Kio,2008,20_to_24,20,24,Females,5200
Ang Mo Kio,2008,20_to_24,20,24,Males,5140
Ang Mo Kio,2008,25_to_29,25,29,Females,6960
Ang Mo Kio,2008,25_to_29,25,29,Males,6630
Ang Mo Kio,2008,30_to_34,30,34,Females,7230
Ang Mo Kio,2008,30_to_34,30,34,Males,6940
Ang Mo Kio,2008,35_to_39,35,39,Females,6780
Ang Mo Kio,2008,35_to_39,35,39,Males,6730
Ang Mo Kio,2008,40_to_44,40,44,Females,7150
Ang Mo Kio,2008,40_to_44,40,44,Males,7190
Ang Mo Kio,2008,45_to_49,45,49,Females,7280
Ang Mo Kio,2008,45_to_49,45,49,Males,7530
Ang Mo Kio,2008,5_to_9,5,9,Females,4250
Ang Mo Kio,2008,5_to_9,5,9,Males,4470
Ang Mo Kio,2008,50_to_54,50,54,Females,7590
Ang Mo Kio,2008,50_to_54,50,54,Males,6950
Ang Mo Kio,2008,55_to_59,55,59,Females,7100
Ang Mo Kio,2008,55_to_59,55,59,Males,6440
Ang Mo Kio,2008,60_to_64,60,64,Females,5150
Ang Mo Kio,2008,60_to_64,60,64,Males,4690
Ang Mo Kio,2008,65_to_69,65,69,Females,4100
Ang Mo Kio,2008,65_to_69,65,69,Males,3670
Ang Mo Kio,2008,70_to_74,70,74,Females,2700
Ang Mo Kio,2008,70_to_74,70,74,Males,2420
Ang Mo Kio,2008,75_to_79,75,79,Females,2100
Ang Mo Kio,2008,75_to_79,75,79,Males,1530
Ang Mo Kio,2008,80_to_84,80,84,Females,1180
Ang Mo Kio,2008,80_to_84,80,84,Males,790
Ang Mo Kio,2008,85_to_89,85,89,Females,550
Ang Mo Kio,2008,85_to_89,85,89,Males,290
Ang Mo Kio,2008,90_and_over,NA,NA,Females,310
Ang Mo Kio,2008,90_and_over,NA,NA,Males,160
Ang Mo Kio,2009,0_to_4,0,4,Females,4120
Ang Mo Kio,2009,0_to_4,0,4,Males,4190
Ang Mo Kio,2009,10_to_14,10,14,Females,4690
Ang Mo Kio,2009,10_to_14,10,14,Males,4830
Ang Mo Kio,2009,15_to_19,15,19,Females,5330
Ang Mo Kio,2009,15_to_19,15,19,Males,5290
Ang Mo Kio,2009,20_to_24,20,24,Females,5490
Ang Mo Kio,2009,20_to_24,20,24,Males,5310
Ang Mo Kio,2009,25_to_29,25,29,Females,7210
Ang Mo Kio,2009,25_to_29,25,29,Males,6720
Ang Mo Kio,2009,30_to_34,30,34,Females,7460
Ang Mo Kio,2009,30_to_34,30,34,Males,7090
Ang Mo Kio,2009,35_to_39,35,39,Females,7180
Ang Mo Kio,2009,35_to_39,35,39,Males,7100
Ang Mo Kio,2009,40_to_44,40,44,Females,7020
Ang Mo Kio,2009,40_to_44,40,44,Males,6910
Ang Mo Kio,2009,45_to_49,45,49,Females,7400
Ang Mo Kio,2009,45_to_49,45,49,Males,7620
Ang Mo Kio,2009,5_to_9,5,9,Females,4350
Ang Mo Kio,2009,5_to_9,5,9,Males,4380
Ang Mo Kio,2009,50_to_54,50,54,Females,7550
Ang Mo Kio,2009,50_to_54,50,54,Males,7030
Ang Mo Kio,2009,55_to_59,55,59,Females,7240
Ang Mo Kio,2009,55_to_59,55,59,Males,6490
Ang Mo Kio,2009,60_to_64,60,64,Females,5580
Ang Mo Kio,2009,60_to_64,60,64,Males,5080
Ang Mo Kio,2009,65_to_69,65,69,Females,4120
Ang Mo Kio,2009,65_to_69,65,69,Males,3740
Ang Mo Kio,2009,70_to_74,70,74,Females,2950
Ang Mo Kio,2009,70_to_74,70,74,Males,2590
Ang Mo Kio,2009,75_to_79,75,79,Females,2140
Ang Mo Kio,2009,75_to_79,75,79,Males,1680
Ang Mo Kio,2009,80_to_84,80,84,Females,1360
Ang Mo Kio,2009,80_to_84,80,84,Males,860
Ang Mo Kio,2009,85_to_89,85,89,Females,650
Ang Mo Kio,2009,85_to_89,85,89,Males,310
Ang Mo Kio,2009,90_and_over,NA,NA,Females,290
Ang Mo Kio,2009,90_and_over,NA,NA,Males,160
Ang Mo Kio,2010,0_to_4,0,4,Females,3920
Ang Mo Kio,2010,0_to_4,0,4,Males,4090
Ang Mo Kio,2010,10_to_14,10,14,Females,4640
Ang Mo Kio,2010,10_to_14,10,14,Males,4740
Ang Mo Kio,2010,15_to_19,15,19,Females,5230
Ang Mo Kio,2010,15_to_19,15,19,Males,5230
Ang Mo Kio,2010,20_to_24,20,24,Females,5430
Ang Mo Kio,2010,20_to_24,20,24,Males,5240
Ang Mo Kio,2010,25_to_29,25,29,Females,6980
Ang Mo Kio,2010,25_to_29,25,29,Males,6450
Ang Mo Kio,2010,30_to_34,30,34,Females,7500
Ang Mo Kio,2010,30_to_34,30,34,Males,7000
Ang Mo Kio,2010,35_to_39,35,39,Females,7350
Ang Mo Kio,2010,35_to_39,35,39,Males,7180
Ang Mo Kio,2010,40_to_44,40,44,Females,6790
Ang Mo Kio,2010,40_to_44,40,44,Males,6730
Ang Mo Kio,2010,45_to_49,45,49,Females,7370
Ang Mo Kio,2010,45_to_49,45,49,Males,7530
Ang Mo Kio,2010,5_to_9,5,9,Females,4190
Ang Mo Kio,2010,5_to_9,5,9,Males,4250
Ang Mo Kio,2010,50_to_54,50,54,Females,7490
Ang Mo Kio,2010,50_to_54,50,54,Males,7120
Ang Mo Kio,2010,55_to_59,55,59,Females,7310
Ang Mo Kio,2010,55_to_59,55,59,Males,6490
Ang Mo Kio,2010,60_to_64,60,64,Females,6210
Ang Mo Kio,2010,60_to_64,60,64,Males,5670
Ang Mo Kio,2010,65_to_69,65,69,Females,3920
Ang Mo Kio,2010,65_to_69,65,69,Males,3550
Ang Mo Kio,2010,70_to_74,70,74,Females,3160
Ang Mo Kio,2010,70_to_74,70,74,Males,2780
Ang Mo Kio,2010,75_to_79,75,79,Females,2290
Ang Mo Kio,2010,75_to_79,75,79,Males,1800
Ang Mo Kio,2010,80_to_84,80,84,Females,1470
Ang Mo Kio,2010,80_to_84,80,84,Males,930
Ang Mo Kio,2010,85_to_89,85,89,Females,680
Ang Mo Kio,2010,85_to_89,85,89,Males,350
Ang Mo Kio,2010,90_and_over,NA,NA,Females,370
Ang Mo Kio,2010,90_and_over,NA,NA,Males,160
Ang Mo Kio,2011,0_to_4,0,4,Females,3750
Ang Mo Kio,2011,0_to_4,0,4,Males,3920
Ang Mo Kio,2011,10_to_14,10,14,Females,4550
Ang Mo Kio,2011,10_to_14,10,14,Males,4770
Ang Mo Kio,2011,15_to_19,15,19,Females,5150
Ang Mo Kio,2011,15_to_19,15,19,Males,5140
Ang Mo Kio,2011,20_to_24,20,24,Females,5410
Ang Mo Kio,2011,20_to_24,20,24,Males,5230
Ang Mo Kio,2011,25_to_29,25,29,Females,6550
Ang Mo Kio,2011,25_to_29,25,29,Males,6010
Ang Mo Kio,2011,30_to_34,30,34,Females,7400
Ang Mo Kio,2011,30_to_34,30,34,Males,6950
Ang Mo Kio,2011,35_to_39,35,39,Females,7400
Ang Mo Kio,2011,35_to_39,35,39,Males,7060
Ang Mo Kio,2011,40_to_44,40,44,Females,6850
Ang Mo Kio,2011,40_to_44,40,44,Males,6590
Ang Mo Kio,2011,45_to_49,45,49,Females,7420
Ang Mo Kio,2011,45_to_49,45,49,Males,7390
Ang Mo Kio,2011,5_to_9,5,9,Females,4090
Ang Mo Kio,2011,5_to_9,5,9,Males,4140
Ang Mo Kio,2011,50_to_54,50,54,Females,7270
Ang Mo Kio,2011,50_to_54,50,54,Males,7220
Ang Mo Kio,2011,55_to_59,55,59,Females,7430
Ang Mo Kio,2011,55_to_59,55,59,Males,6590
Ang Mo Kio,2011,60_to_64,60,64,Females,6630
Ang Mo Kio,2011,60_to_64,60,64,Males,5980
Ang Mo Kio,2011,65_to_69,65,69,Females,3900
Ang Mo Kio,2011,65_to_69,65,69,Males,3500
Ang Mo Kio,2011,70_to_74,70,74,Females,3490
Ang Mo Kio,2011,70_to_74,70,74,Males,3070
Ang Mo Kio,2011,75_to_79,75,79,Females,2310
Ang Mo Kio,2011,75_to_79,75,79,Males,1830
Ang Mo Kio,2011,80_to_84,80,84,Females,1550
Ang Mo Kio,2011,80_to_84,80,84,Males,1000
Ang Mo Kio,2011,85_to_89,85,89,Females,740
Ang Mo Kio,2011,85_to_89,85,89,Males,370
Ang Mo Kio,2011,90_and_over,NA,NA,Females,360
Ang Mo Kio,2011,90_and_over,NA,NA,Males,140
Ang Mo Kio,2012,0_to_4,0,4,Females,3660
Ang Mo Kio,2012,0_to_4,0,4,Males,3890
Ang Mo Kio,2012,10_to_14,10,14,Females,4450
Ang Mo Kio,2012,10_to_14,10,14,Males,4650
Ang Mo Kio,2012,15_to_19,15,19,Females,4990
Ang Mo Kio,2012,15_to_19,15,19,Males,5020
Ang Mo Kio,2012,20_to_24,20,24,Females,5570
Ang Mo Kio,2012,20_to_24,20,24,Males,5370
Ang Mo Kio,2012,25_to_29,25,29,Females,6210
Ang Mo Kio,2012,25_to_29,25,29,Males,5570
Ang Mo Kio,2012,30_to_34,30,34,Females,7320
Ang Mo Kio,2012,30_to_34,30,34,Males,6800
Ang Mo Kio,2012,35_to_39,35,39,Females,7450
Ang Mo Kio,2012,35_to_39,35,39,Males,6880
Ang Mo Kio,2012,40_to_44,40,44,Females,6920
Ang Mo Kio,2012,40_to_44,40,44,Males,6650
Ang Mo Kio,2012,45_to_49,45,49,Females,7270
Ang Mo Kio,2012,45_to_49,45,49,Males,7170
Ang Mo Kio,2012,5_to_9,5,9,Females,4010
Ang Mo Kio,2012,5_to_9,5,9,Males,4110
Ang Mo Kio,2012,50_to_54,50,54,Females,7160
Ang Mo Kio,2012,50_to_54,50,54,Males,7210
Ang Mo Kio,2012,55_to_59,55,59,Females,7460
Ang Mo Kio,2012,55_to_59,55,59,Males,6670
Ang Mo Kio,2012,60_to_64,60,64,Females,6740
Ang Mo Kio,2012,60_to_64,60,64,Males,5980
